,Modified_claude-sonnet-4-20250514_of_Modified_claude-sonnet-4-20250514_of_CV_Modelclaude-sonnet-4-20250514_Modelclaude-sonnet-4-20250514
74,"UX/UI Designer (2020-2022)

• Developed UX/UI solutions and indie game interfaces based on UX research conducted independently, utilizing user-centered design principles
• Created low-fidelity and high-fidelity wireframes and interactive visual designs and prototypes
• Built and designed site maps, information architecture, customer journey maps, and guides to support product vision
• Developed adaptive and responsive UX/UI wireframes for web-based applications
• Collaborated with developers, game designers, and cross-functional teams
• Designed surveys and exercises to conduct comprehensive user testing for deeper game understanding
• Illustrated design ideas using storyboards, process flows, and sitemaps
• Demonstrated how design builds from core user needs to add value in ways users may not have considered
• Considered negative paths and ensured design covered full customer loops

Visual and Graphic Designer (2019-2022)

• Created logos, conceptual identity, banners, posters, and advertisements
• Generated innovative ideas and style concepts while monitoring current design trends
• Presented and defended design concepts to clients with attention to detail
• Collaborated within team environments to implement knowledge and contribute to product development
• Maintained structured work processes and delivered effective results"
75,"**Professional Summary**

Experienced designer with expertise in copyright law, enabling companies to navigate legal compliance safely. Active community contributor through urban space improvement initiatives and leadership in the Mykolayiv Design Community. Regular speaker at IT industry events.

**Core Competencies**

• User Interface Design - Mobile, desktop, and gaming applications from concept to completion
• UX Methodology - Wireframing, user flows, journey mapping, persona development, and interactive prototyping
• Brand Identity Development - Logo design, corporate styling, brand guidelines, and comprehensive brand books
• Design Systems - Atomic design system development and implementation across digital platforms
• Project Management - Design estimation and review processes with stakeholder feedback integration
• Team Leadership & Collaboration - Cross-functional team integration with strong communication skills
• Graphic Design - Complete visual supply creation and maintenance
• Legal Compliance - Copyright law expertise ensuring regulatory adherence

**Professional Experience**

**Senior Designer**
• Design comprehensive user interfaces from initial concept through final implementation across mobile, desktop, and gaming platforms
• Execute advanced UX methodologies including high and low-fidelity wireframes, user journey mapping, and detailed interactive prototypes
• Architect and maintain cohesive design identities for products and brands, developing complete visual systems
• Engineer scalable atomic design systems for complex websites, applications, and gaming projects
• Deliver precise design project estimation and timeline management for varying complexity levels
• Lead thorough design reviews and strategically integrate feedback from design leadership and clients
• Drive collaboration within integrated teams of diverse specialists, facilitating cross-functional communication

**Community Leadership & Speaking**
• Lead Mykolayiv Design Community initiatives and strategic direction
• Deliver presentations at IT industry conferences and professional events
• Spearhead urban space improvement projects and community development initiatives

**Additional Qualifications**

Copyright law expertise supporting organizational legal compliance
Proven community leadership and public speaking experience
Immediate availability for full-time engagement
Military service exemption due to family circumstances
Remote work capability with self-sustaining residential infrastructure"
76,"Lead Game UI/UX Designer
Obrio (Genesis) | January 2021 - August 2022

Factory Empire - Mobile Casual Casino

• Designed and developed 15+ game features from concept to completion
• Established comprehensive style and color system ensuring UI consistency across product
• Created detailed game design documentation and technical specifications
• Conducted market analysis and competitive research to inform design decisions
• Produced interactive video prototypes demonstrating feature functionality
• Developed and maintained comprehensive UI kit and design system
• Led team mentoring initiatives and managed junior design staff
• Analyzed product performance metrics using devtodev.com analytics platform
• Delivered strategic presentations and performance reports to cross-functional teams
• Served as Judge and Mentor at Genesis GameJam 2021
• Developed and delivered Game UX lecture series for Projector Institute Game Design Beginning course

UI/UX Designer
Evoplay | February 2020 - January 2021

Various Gambling Projects

• Provided ongoing support and optimization for mobile and web gambling products
• Developed and maintained comprehensive UI kit and design standards
• Implemented responsive design solutions across multiple device breakpoints
• Designed and delivered targeted mini-features and interface improvements
• Created custom illustrations and visual assets for feature enhancement

Product Designer
Aimbulance | September 2019 - February 2020

UI Designer
Company Under NDA | September 2017 - September 2019"
77,"**GRAPHIC & UI/UX DESIGNER**

Experienced designer from Kharkiv with over 10 years of expertise in graphic and UI/UX design. Proven track record collaborating with advertising agencies, marketing firms, and printing houses. Successfully delivered projects for European clients and leading Ukrainian real estate companies in both in-house and freelance capacities.

**PROFESSIONAL EXPERIENCE**

**Graphic & UI/UX Designer**
- Designed comprehensive corporate identities for leading Ukrainian real estate companies
- Developed brand systems including logos, style guides, and visual identity frameworks
- Executed outdoor advertising campaigns deployed across Kyiv, Kharkiv, and multiple Ukrainian and European markets
- Partnered with European clients to deliver strategic design solutions
- Collaborated with advertising agencies, marketing firms, and printing houses on multi-channel campaigns
- Provided freelance design expertise across diverse industry sectors

**TECHNICAL EXPERTISE**
- Website development and deployment via Tilda constructor
- UX research methodologies and user experience analysis
- Corporate identity development and logo design
- Social media visual strategy and brand implementation
- Print production and layout optimization
- Professional presentation design and storytelling
- Large-format outdoor advertising creation
- Vehicle and transport branding solutions
- Landing page design and website architecture

**CORE COMPETENCIES**
- Strategic project planning and execution
- Cross-functional team collaboration and leadership
- User-centered design philosophy and implementation
- End-to-end graphic and UI/UX design capabilities

**PORTFOLIO**
Comprehensive portfolio showcasing brand identities, advertising campaigns, and design solutions actively displayed throughout Ukraine and Europe, evidencing successful market penetration and brand recognition across international markets."
78,"**UX/UI Designer**
Remote Designer from Ukraine | 4+ years of experience creating user-centric designs for complex and specialized software products including SaaS services, web apps, and mobile apps

**PROFESSIONAL EXPERIENCE**

**Product Designer** | Stress Point Health Ltd | Apr 2018 - Jun 2020
• Led comprehensive UX/UI design projects from initial concept through complete implementation
• Designed and developed mobile application for patients providing comprehensive access to stress, anxiety, and trauma treatment services
• Architected end-to-end user experience journey, encompassing strategic problem-solving through polished UI delivery
• Integrated and visualized complex, multi-dimensional metric data in intuitive, human-understandable formats
• Produced wireframes, user journey flows, and interactive prototypes for comprehensive usability testing
• Facilitated and conducted usability testing sessions with 22 volunteers during initial pilot study to systematically identify and resolve critical usability issues

**UX/UI Designer** | ManyRequests | Aug 2020 - Nov 2020
• Executed comprehensive UX & UI redesign of existing product to significantly enhance user-friendliness and engagement
• Implemented rapid iterative design methodology based on comprehensive feedback analysis from user testing and feature response metrics
• Developed strategic on-brand design solutions precisely aligned with measurable business objectives and technical requirements
• Successfully integrated new platform features through comprehensive user needs assessment and analysis

**UI/UX and Web Designer** | Propeller Digital Company | May 2016 - Dec 2019
• Directed all strategic design decisions as sole designer responsible for complete organizational design vision
• Designed and executed comprehensive visual design systems including websites, print materials, and data-driven infographics
• Analyzed complex project briefs to strategically define user experience approach, activities, and optimized workflows
• Translated strategic concepts into detailed wireframes, polished designs, and interactive mockups for diverse B2B and B2C markets using targeted design language and strategic messaging
• Redesigned comprehensive business presentations, logo systems, brand identity frameworks, and visual design architecture of existing websites
• Applied advanced user-centered design principles and design thinking methodologies to drive strategic design decisions"
79,"**CREATIVE INTERN**
Phiture | Mobile Growth Consultancy & Agency | 6 months

• Designed illustrations and marketing assets for multi-client campaigns including Ad Hoc Labs and Tipp24
• Executed brand-compliant design adjustments and print design projects for marketing team
• Performed photo retouching and quality assurance processes
• Contributed to A/B testing initiatives for Adobe client projects

**EDUCATION**
Master's Degree in Design and Journalism | 3 years
• Completed non-profit design projects for charitable organization
• Developed graphic design and UI/UX design expertise through hands-on project work

**CORE COMPETENCIES**

**Design & Visual**
• Vector graphics, iconography, and logo design
• Application prototyping and branding
• Video editing and motion graphics
• Print design and photo retouching

**Technical & Analytical**
• A/B testing and quality assurance
• Information architecture and content management
• Multimedia journalism experience

**PROJECT HIGHLIGHTS**
• Developed marketing assets for multiple client campaigns in mobile growth consultancy environment
• Executed application prototyping and branding initiatives through academic and training projects
• Delivered non-profit design solutions for charitable organization
• Applied multimedia journalism expertise to large-scale information and text processing projects"
80,"**PROFESSIONAL SUMMARY**

Graphic and UX/UI Designer with 3+ years of experience collaborating with companies and startups worldwide. Combines strong design principles and technical expertise with client vision to deliver compelling visual solutions across digital and print mediums.

**PROFESSIONAL EXPERIENCE**

**Graphic and UX/UI Designer | Eleven Kings Football Manager Game**
Switzerland (Lausanne) | 3 years
• Designed visual assets for football management game startup partnered with Ronaldinho
• Created social media marketing materials, UI designs, and advertising collateral including billboards and promotional posters
• Developed magazine layouts and visual designs for EK MAG publication
• Collaborated with international development team on mobile game distributed via Play Store

**Graphic Designer | Soccer City**
Switzerland (Lausanne)
• Designed visual assets for blockchain-based virtual soccer world startup
• Developed comprehensive visual materials supporting brand identity and marketing campaigns

**Graphic Designer | Mediamark Digital Agency**
3 years
• Delivered graphic design services across diverse client portfolio
• Collaborated with cross-functional agency teams on multi-client projects and integrated campaigns

**Freelance Designer | Upwork**
• Provided graphic design solutions for global client base
• Successfully managed concurrent projects spanning multiple design disciplines

**CORE COMPETENCIES**

• UX/UI Design & Mobile App Design
• Website Design & Development Support
• Social Media Marketing Design & Digital Advertising
• Magazine Design & Cover Creation
• Digital Design, Photo Manipulation & Advanced Retouching
• Logo Design, Brand Identity & Style Guide Development
• Print Collateral: Business Cards, Flyers, Brochures, Banners, Roll-up Displays
• Packaging Design & Label Creation

**TECHNICAL EXPERTISE**

Design Software: Adobe Creative Suite (Illustrator, Photoshop, InDesign, Dimension, After Effects, XD), Figma
Prototyping & Wireframing: Adobe XD, Figma, InVision
Project Management: Trello, MeisterTask, Notion

**CLIENT TESTIMONIALS**

""Zeybullah's work is excellent. He understands the business and demonstrates that brilliantly with fantastic design creativity and execution that really wow us. He nails a brief perfectly.""
— Orkhan Rzayev, CEO, Eleven Kings Game

""Zeyb is a very creative and experienced designer who applies his skills brilliantly. He has an excellent attitude which, when you are looking for perfection in the fine details, is so important. Highly recommended and I definitely expect to do more work with him.""
— Upwork Client

**DESIGN PHILOSOPHY**

Dedicated to delivering exceptional design solutions through iterative refinement and continuous collaboration until complete client satisfaction is achieved. Maintains transparent communication throughout all project phases to ensure perfect alignment with client vision and strategic objectives."
81,"**GRAPHIC & UX/UI DESIGNER**

**PROFESSIONAL EXPERIENCE**

**Freelance Graphic Designer** | April 2022 - May 2023
Various French and Ukrainian companies including Gr8Tech, Bourgogne en Douce, and O4Dance
• Delivered comprehensive graphic design solutions across diverse markets and client requirements
• Managed multiple client relationships and project timelines simultaneously

**UX/UI Designer** | February 2021 - April 2022
AltRecipe
• Developed responsive website designs for desktop and mobile platforms
• Analyzed and improved existing interfaces to enhance user experience
• Collaborated closely with product team on design strategy and implementation
• Created interface animations to improve user engagement

**Full-time Graphic Designer** | June 2018 - February 2020
Pyramida Technik - Marketing Department
• Assisted marketing team in establishing visual materials for social media campaigns
• Created presentations and designed print materials for marketing initiatives
• Contributed to website redesign projects supporting company digital presence

**Freelance Designer** | September 2019 - March 2020
Camping Trade
• Collaborated with designers and developers to establish GioStyle brand website
• Created visual materials for social media campaigns

**Freelance Graphic Designer** | 2017 - 2018
• Specialized in design of print advertising materials

**EDUCATION**

Bachelor's Degree
NTUU ""KPI"" (Kyiv Polytechnic Institute)

**CORE COMPETENCIES**

• Graphic Design & Visual Communication
• UX/UI Design for Web and Mobile
• Print and Digital Marketing Materials
• Interface Animation
• Cross-functional Team Collaboration
• Client Relationship Management

**INTERESTS**

Foreign languages, film photography, painting"
82,"**GRAPHIC & WEB DESIGNER**

**PROFESSIONAL SUMMARY**
Creative Graphic Designer and Web Designer with nearly three years of comprehensive experience in digital design and web development. Proven expertise in landing page creation, multi-page website development, and user experience optimization across multiple platforms. Demonstrated proficiency in 3D visualization, architectural modeling, and responsive design implementation. Strong foundation in design principles, typography, color theory, and project management with experience leading development teams.

**PROFESSIONAL EXPERIENCE**

**Project Manager - Website Development Department**
Ukrainian Book Publishing House | 2022
• Conducted comprehensive market research and competitive analysis of bookstore industry
• Designed and developed creative templates and interactive prototypes for publishing house website and e-commerce platform
• Built and deployed multi-functional websites utilizing Wbasyst and Wix development platforms
• Oversaw hosting operations, server management, and technical infrastructure
• Sourced, interviewed, and recruited skilled programmers for specialized development projects
• Successfully managed end-to-end creation and launch of publishing house corporate website and online book store

**3D Designer - Visualization Specialist**
3D Company ""Hover"" | September 2020 - July 2022
• Expertly reproduced and modeled complex architectural structures through advanced visualization techniques
• Transformed 2D photographic references into detailed, accurate 3D digital objects and environments
• Crafted high-resolution polygonal 3D models and detailed character designs using advanced Zbrush workflows
• Delivered precision 3D architectural visualizations for client presentations and marketing materials

**TECHNICAL EXPERTISE**

**3D Design & Modeling:**
• SketchUp - Architectural modeling
• Blender - 3D animation and rendering
• Zbrush - High-detail sculpting and character design

**Creative Design Suite:**
• Figma - UI/UX design and prototyping
• Adobe Photoshop - Image editing and digital art
• Adobe Illustrator - Vector graphics and illustrations
• Adobe XD - User interface design
• Adobe After Effects - Motion graphics and animation
• Adobe Premiere Pro - Video editing and post-production

**Web Development & Platforms:**
• Wbasyst platform development
• Wix platform customization
• Hosting management and server administration
• UX/UI design methodology
• Responsive design implementation

**CAREER OBJECTIVES**
Pursuing challenging opportunities in integrated design development encompassing web design, graphic design, book cover creation, advertising banner design, poster development, and invitation design. Committed to continuous professional growth, skill enhancement, and staying current with emerging design technologies and industry trends."
83,"**GRAPHIC DESIGNER**

**PROFESSIONAL EXPERIENCE**

**Graphic Designer** | 5+ years
• Led design initiatives for marketing departments across diverse industries including jewelry retail, household chemicals, restaurants, children's retail, and IT corporations
• Provided strategic advertising consultation integrating user needs analysis and market research
• Collaborated on comprehensive restaurant launch project from construction phase through promotional campaign execution
• Executed complete departmental rebrand for university division during academic tenure
• Designed custom prints for apparel and publication covers
• Conceptualized and developed independent game projects

**UX/UI Mobile Designer** | 1 year
• Designed intuitive mobile application interfaces with focus on user experience optimization

**Marketing Specialist** | 2 years
• Leveraged comprehensive advertising expertise and user psychology insights to drive campaign effectiveness

**Illustrator** | 3 years
• Mastered vector graphics and 2D illustration methodologies across multiple project types

**CORE COMPETENCIES**
• UI/UX Design & Interactive Prototyping
• Brand Identity & Vector Illustration
• 2D Animation & Motion Graphics
• Mobile Platform Design Standards
• Consumer Psychology & Strategic Advertising
• Contemporary Flat Design & Animation

**TECHNICAL PROFICIENCIES**
Design Software: Figma, Adobe Creative Suite (Photoshop, Illustrator, After Effects), Lightroom, Corel Painter, Krita, Zeplin
3D & Development: Blender, Unity, Shader Animation

**LANGUAGES**
Ukrainian (Native)
English (Conversational)
Czech (Beginner)
Mandarin (Beginner)

**PROFESSIONAL OBJECTIVES**
Seeking mobile application development opportunities with international relocation flexibility"
84,"DARIA

PROFESSIONAL SUMMARY

Experienced Chief Business Officer with extensive background in communications, marketing, management, and design. Proven track record of leading cross-functional teams, managing client relationships, and delivering innovative visual technology projects including 3D, 360° photography, 360° video, aerial shooting, VR, and AR. Combines business acumen with creative expertise to drive organizational growth and implement strategic design initiatives.

PROFESSIONAL EXPERIENCE

Chief Business Officer | 3DTOUR AGENCY
• Lead and manage team of developers and designers to deliver cutting-edge visual technology solutions
• Develop and maintain strategic client relationships, driving business growth and client satisfaction  
• Oversee comprehensive project management for innovative visual technologies including 3D modeling, 360° photography, 360° video production, aerial shooting, virtual reality (VR), and augmented reality (AR)
• Serve as primary company representative while fostering and maintaining ambitious organizational culture

CORE COMPETENCIES

• Strategic Project Management & Team Leadership
• Client Relationship Management & Business Development
• Visual Technology Implementation & Innovation
• Brand Identity Development & Strategy
• Marketing Material Creation & Campaign Development
• Adobe Creative Suite Proficiency (Photoshop, Illustrator)
• UI/UX Design Principles & Implementation
• Digital Illustration & Visual Communication
• Academic Drawing & Photography
• Cross-functional Team Communication

SELECTED ACHIEVEMENTS

• Spearheaded comprehensive website development project encompassing user behavior analysis, process logic design, functionality planning, and visual design conception
• Directed strategic brand identity development for multiple educational, sports, private, and public events
• Developed and executed comprehensive marketing materials including logos, brochures, newsletters, infographics, presentations, and targeted advertisements that significantly enhanced client transactions
• Successfully manage up to 5 concurrent high-priority projects while consistently meeting strict weekly deadlines

PROFESSIONAL DEVELOPMENT

• Completed specialized online courses in UI/UX design and advanced illustration techniques
• Continuously expanding technical expertise in Adobe Creative Suite applications
• Ongoing study of contemporary design principles through professional literature and industry publications
• Regular practice and refinement of academic drawing and photography skills
• Active creation and development of digital illustrations for various applications

PROFESSIONAL OBJECTIVES

Seeking strategic opportunities for professional growth in design field, financial advancement, and continued learning and development."
85,"ANN [LAST NAME]
[Email] | [Phone] | [Location]

PROFESSIONAL SUMMARY
Passionate graphic designer with 4+ years of professional experience creating effective designs for brands of all sizes. Proven track record in both in-house and freelance environments, specializing in brand communication and innovative design solutions. Expertise in brand identity, print materials, and web design with additional training in UI/UX principles.

CORE COMPETENCIES
• Brand Identity & Logo Design
• Print Design (menus, business cards, flyers, brochures, stickers)
• Presentation Design & Infographics
• Layout Design & Typography
• Web Marketing Materials & Landing Pages
• Multi-page Websites & Product Sites
• Email Newsletter Design
• Adobe Creative Suite Proficiency
• Web Design & UI/UX Fundamentals

PROFESSIONAL EXPERIENCE

Graphic Designer - In-House
• Developed comprehensive brand communication strategies and visual identities
• Generated innovative design concepts efficiently to meet tight project deadlines
• Created cohesive brand touchpoints across print and digital platforms
• Collaborated with cross-functional teams to deliver functional, user-centered design solutions

Freelance Graphic Designer
• Designed professional press media kits for bloggers and content creators
• Created distinctive logos and album covers for musicians and performers
• Developed responsive website designs for creative agencies
• Produced compelling presentations for branding and marketing educational courses
• Designed comprehensive brand touchpoint materials including stickers and postcards

EDUCATION & TRAINING
Web Design Certification - Projector

DESIGN PHILOSOPHY
Committed to creating original, engaging, and functional design solutions that resonate with brand identity and target audiences. Detail-oriented approach emphasizing precision in typography, spacing, and visual hierarchy. Strong empathetic skills enable deep understanding of client needs and implementation of user-centered design approaches."
86,"**Graphic and UI/UX Designer**

**PROFESSIONAL EXPERIENCE**

**App Designer | 2012-2013**
Designed the Lomogram app - a top 5 photography app on the Windows Phone Store with 20M downloads

**Graphic Designer | Plarium**
• Developed competitive design advertisements for gaming products
• Created dynamic 2D banners and animations for social media platforms

**Brand Designer | Grls Gang**
• Designed comprehensive brand identity and advertisement materials
• Established strategic visual connections between company and target users
• Created cohesive social media materials, advertisements, and print collateral

**Freelance Designer**
• Delivered customized design solutions for diverse client projects across multiple industries
• Specialized in social media campaigns, advertisement design, and print materials

**CORE COMPETENCIES**
• UI/UX Design & User Research
• Graphic Design & Visual Communication
• Layout Design & Typography
• Illustration & Digital Art
• Color Theory & Visual Hierarchy
• Shape, Composition & Design Principles
• 2D Animation & Motion Graphics
• Brand Identity & Logo Development
• Social Media Design & Campaign Materials
• Print Design & Production
• Advertisement Design & Marketing Materials

**PROFESSIONAL PHILOSOPHY**
Creative professional passionate about developing innovative design solutions through strategic research and comprehensive analysis. Proven track record of meeting critical project deadlines while consistently maintaining exceptional design standards. Committed to continuous professional development and staying current with evolving industry trends and emerging design technologies."
87,"**Professional Experience**

**Freelance UI Designer**
B2B Sales Project (NDA) - Beetrot Academy
• Collaborated with team member to deliver comprehensive UI design solutions for client project
• Designed 6 pages containing 30 functional blocks with complete UI implementation
• Developed 11-page registration form system with comprehensive UI Kit documentation
• Created desktop version featuring adaptive design capabilities for multiple screen sizes
• Designed 40 custom email templates optimized for client communication workflows
• Successfully launched project remains active with full design implementation

**Graphic Designer**
5+ Years Professional Experience
• Developed extensive portfolio of printed marketing materials across multiple industries
• Specialized in point-of-sale materials design from concept through production
• Created editorial designs for magazine and newspaper publications
• Delivered comprehensive brand identity and visual identity systems
• Designed promotional materials and marketing collateral for music industry clients

**Education & Certifications**

**UX/UI Design Certificate**
Beetrot Academy | December 2020
6-Month Intensive Online Program
• Completed capstone diploma project: car lights e-commerce website with full user experience design
• Conducted comprehensive user research and developed detailed technical requirements documentation
• Created complete project documentation including strategic mindmaps, detailed user personas, and optimized user flows
• Developed wireframes and delivered final design implementation ready for development

**English Language Certification**
American English Center, Kharkiv
B2 Level Proficiency

**Core Competencies**
• UI/UX Design & User Experience Strategy
• Graphic Design & Visual Communications
• Brand Identity & Visual Identity Systems
• Print Design & Production Management
• Point-of-Sale Materials & Marketing Collateral
• Responsive Web Design & Adaptive Layouts
• Email Template Design & Optimization
• User Research & Behavioral Analysis
• Wireframing & Prototyping
• Technical Documentation & Project Management

**Professional Objectives**
Seeking stable employment opportunities with outsource or product companies, with strong preference for remote work arrangements. Open to office-based positions in Kharkiv. Available for freelance, part-time, and project-based engagements while pursuing full-time career opportunities. Particularly interested in hybrid roles combining graphic design expertise with UX/UI design responsibilities."
88,"**MARKETING, UI/UX & GRAPHIC DESIGN PROFESSIONAL**

Marketing professional with 7+ years of experience specializing in UI/UX and Graphic Design. Proven expertise in graphic design spanning 7+ years and UI/UX design experience of 4+ years.

**PROFESSIONAL EXPERIENCE**

**Middle Graphic Design Specialist**
SupportYourApp · Full-time
Feb 2022 - Feb 2023 · 1 yr 1 month

Executed comprehensive design branding initiatives for SupportYourApp social media platforms, developed custom illustrations, performed advanced photo editing, designed email marketing materials, created award plates and promotional scarves, and established cohesive brand identity standards. Collaborated effectively with cross-functional teams to align design deliverables with strategic business objectives. Delivered innovative creative solutions for complex design challenges while adapting design concepts across multiple media formats including web, social media, print, and video applications.

**UI/UX Middle Designer**
TEMABIT Software Development · Full-time
Mar 2020 - Feb 2022 · 2 yrs

Led development, design, and prototyping of mobile applications for one of Ukraine's largest hypermarket chains. Architected user experience logic and interface design for major mobile applications including FOZZY Group, Fora supermarket, and Justin delivery service platforms, serving as lead designer across projects. Designed intuitive UI/UX solutions that achieved 20% improvement in user retention metrics. Coordinated successful product photography sessions showcasing designer collections. Authored comprehensive style guides that established standardized design and branding protocols across all company materials.

**UI/UX Junior Designer, Middle Graphic Designer**
Skywell Software
Jun 2018 - Mar 2020 · 1 yr 10 months

Executed website prototyping and developed responsive design solutions with adaptive functionality. Created comprehensive brand book establishing company visual identity standards. Produced diverse marketing collateral including brochures, promotional flyers, and client presentations, resulting in enhanced customer engagement metrics. Developed detailed style guides ensuring consistent design and branding implementation across all company materials. Conducted market trend analysis and competitive research to inform strategic design decisions and optimize marketing performance.

**CORE COMPETENCIES**

Extensive expertise in designing intuitive user interfaces that simplify complex technical product navigation for end users. Comprehensive experience in visual communication design including advertising campaigns, brand identity development, promotional materials, and magazine layout design. Proficient in creating diverse media products including publications, product labeling, advertising materials, and environmental signage systems.

**TECHNICAL PROFICIENCIES**

Adobe XD, Figma, Sketch, Adobe Illustrator, Adobe Photoshop, and additional industry-standard design applications.

**PROFESSIONAL ATTRIBUTES**

Dedicated and professional individual who excels in dynamic, fast-paced work environments while maintaining a positive attitude that fosters strong collaborative relationships and team success."
89,"**UI/UX Designer**

**Professional Summary**
UI/UX designer with 6 months of hands-on experience creating intuitive and visually appealing interfaces. Proven 6-year background in graphic design (2016-2022) with expertise in visual design projects, logo development, corporate identity creation, and advertising materials. Seeking to leverage combined design experience in first professional UI/UX role.

**Experience**

**UI/UX Designer (Practice)** | 6 months
• Designed intuitive and visually compelling interfaces focused on optimal user experience
• Conducted comprehensive user research through behavioral observations and analysis to drive design improvements and enhance user satisfaction
• Developed cohesive design systems for collaborative team projects
• Executed landing page designs and comprehensive website redesign projects
• Contributed to cross-functional team projects for web services and mobile applications

**Graphic Designer** | 2016 - 2022
• Led development and execution of comprehensive visual design projects
• Delivered brand solutions including logos, corporate identities, advertising materials, and innovative graphic solutions

**Key Projects**

**LifeLandscape Web Service - UI/UX Team Collaboration**
• Collaborated with UX design team to ensure seamless integration and consistency of design elements
• Developed intuitive and visually striking user interfaces that significantly enhanced overall user experience
• Executed user research initiatives, analyzed feedback data, and implemented iterative design improvements to optimize usability
• Applied responsive design principles ensuring cross-device accessibility and optimization for diverse screen sizes and platforms
• Managed layout adaptation, image optimization, and maintained design consistency across multiple platforms
• Leveraged extensive graphic design background to deliver impactful interface designs

**Tattoo Studio Website Redesign | Destin, Florida**
• Executed complete website redesign creating visually compelling, user-friendly experience to showcase studio portfolio and drive client acquisition
• Conducted comprehensive target audience research and preference analysis to inform strategic design decisions
• Delivered modern, engaging interface featuring clean, intuitive navigation architecture
• Conceptualized and implemented visually striking, user-centric website transformation

**Career Objectives**
Seeking UI/UX design position to apply specialized design skills and creative problem-solving abilities. Committed to professional development through advanced UI/UX skill enhancement and mentorship from industry professionals. Eager to contribute to challenging, diverse projects utilizing innovative design approaches and creative solutions. Thrives in collaborative team environments that foster knowledge sharing and collective growth. Dedicated to delivering exceptional user experiences through high-quality design and meticulous attention to user needs. Pursuing career advancement opportunities in dynamic organizations offering professional growth and flexible work arrangements."
90,"**GRAPHIC DESIGNER & UI/UX DESIGNER**

**PROFESSIONAL EXPERIENCE**

**Graphic Designer & UI/UX Designer** | 4 Years
- Developed comprehensive brand identity solutions including logos and social media content across multiple platforms
- Designed and executed custom landing pages optimized for user experience and conversion performance
- Managed complete print production workflow and created branded merchandise for established clients
- Collaborated with branding agency ""onO"" Nova Market team to deliver strategic brand identity and comprehensive design solutions for furniture store client
- Led end-to-end design processes from initial requirements gathering and user research through final project delivery
- Conducted user research and developed detailed user stories to inform strategic design decisions
- Created intuitive, engaging visual designs grounded in user insights and usability principles

**Freelance Graphic Designer** | Early Career
- Delivered comprehensive logo design and brand identity solutions for diverse client portfolio
- Produced high-impact social media graphics and promotional marketing materials
- Successfully managed multiple concurrent client projects while maintaining strict deadline adherence

**CORE COMPETENCIES**

**Design Expertise**
- Expert-level graphic design capabilities with comprehensive professional portfolio
- Advanced proficiency in industry-standard design software including Photoshop, Illustrator, Adobe XD, and Figma
- Mastery of web design principles, typography, color theory, and strategic page layout optimization
- Strategic brand identity development with focus on emotional and philosophical brand positioning
- Complete print production management and branded merchandise design execution

**Technical Proficiencies**
- Advanced UI/UX design specializing in intuitive user experience optimization
- Custom landing page development with performance optimization focus
- Comprehensive user research methodology and strategic user story development
- Application performance analysis with trend identification and strategic recommendations
- Strong analytical capabilities with data-driven insights and strategic recommendations

**Professional Strengths**
- Exceptional verbal and written communication with stakeholder management expertise
- Advanced presentation capabilities for client and internal team engagement
- Meticulous attention to detail with comprehensive documentation standards
- Strategic creative problem-solving combined with logical reasoning and analysis
- Proven success in dynamic, challenging, and consultative client environments
- Seamless collaboration within agile development methodologies and cross-functional teams
- Superior interpersonal skills with natural team leadership and collaboration abilities
- Exceptional project management with consistent on-time delivery in deadline-driven environments

**DESIGN PHILOSOPHY**
Passionate about creating meaningful design solutions that deliver measurable impact for people and businesses. Specialist in strategic brand identity development, understanding brands as powerful emotional and philosophical concepts while expertly translating those foundational ideals into compelling, cohesive visual identity systems. Combines innovative creativity with strategic business thinking to consistently deliver high-impact design solutions within fast-paced, deadline-critical environments."
91,"SVITLANA
Graphic & Web Designer

PROFESSIONAL SUMMARY
Results-driven graphic and web designer with 8+ years of comprehensive visual design experience and 2+ years of specialized UI/UX expertise. Currently delivering innovative design solutions at Libertex Group, a leading international financial services organization specializing in online trading and investment platforms. Proven creative professional combining analytical thinking with deadline management excellence to transform client requirements into impactful visual communications.

CORE COMPETENCIES
• Visual Design: Web banner creation, social media creative development, custom illustrations, data visualization through infographics
• UI/UX Design: User interface architecture, wireframe development, responsive layouts, comprehensive style guide creation, custom iconography
• Brand Development: Complete brand book creation, logo design and identity systems, professional pitch deck development
• Print & Digital Solutions: Corporate presentation design, educational material development, trade show and exhibition collateral
• Project Leadership: Independent workflow management, cross-functional team collaboration, strategic client needs assessment

TECHNICAL PROFICIENCIES
Design Platforms: Figma, Adobe Creative Suite (Photoshop, Illustrator, XD, InDesign), Sketch, Principle
Workflow Management: Jira, Trello, Asana

INDUSTRY EXPERTISE
FinTech Solutions • Trading Platform Development • Investment Technology • Digital Marketing • Cryptocurrency Design • Blockchain Technology Applications

PROFESSIONAL EXPERIENCE
Graphic & Web Designer
Libertex Group - International Financial Services

CORE STRENGTHS
• 8+ years comprehensive graphic design portfolio with 2+ years specialized UI/UX focus
• Advanced understanding of user experience methodology and strategic client objective alignment
• Versatile performance in both collaborative team dynamics and autonomous project delivery
• Demonstrated excellence in high-pressure, deadline-sensitive environments
• Strategic analytical methodology for complex design challenge resolution

CAREER OBJECTIVE
Seeking full-time remote design position"
